,RA,DEC,incl,q,f,a,relative_area,parallax,parallax_error,distance,distance_error_upper,distance_error_lower,angular_diameter,surface_brightness,ASAS_V_max_mag,ASAS_V_max_mag_error,Kmag,Kmag_error,ebv
39,311.6156171,-71.94957389,86.0,0.228,60.0,4.43,1.219617046,4.0824,0.0167,244.04509,245.247162,242.929886,0.08441706393708785,3.5757099297835007,8.728,0.1356,7.725,0.023,0.06020115
40,7.116535,78.96184917,67.0,0.413,10.0,2.3,1.031001261,5.8769,0.0142,169.715179,170.161407,169.294876,0.06302367745322864,4.548666695202716,10.518,0.0423,8.868,0.02,0.23382595
41,102.6919287,29.45314556,79.0,0.334,17.0,2.57,1.066376865,4.6963,0.0185,211.385498,212.22258,210.6138,0.056539833497342123,4.0395494123353215,10.208,0.0296,9.382,0.017,0.09255965
42,147.4513292,34.45428417,84.0,0.366,28.0,2.64,1.093715312,2.7743,0.0207,353.744568,356.239136,351.36673,0.034706493553676554,4.046314423183333,11.247,0.0338,10.382,0.019,0.010701616
43,188.7710813,23.33722972,85.0,0.46,7.0,2.49,1.003251,4.8018,0.0394,207.137573,209.014053,205.564957,0.0559032497681904,4.190709278387019,10.45,0.0533,9.002,0.018,0.014053536
44,69.15692208,18.75494222,84.0,0.379,55.0,3.11,1.189022364,4.5679,0.0193,217.400925,218.329468,216.478592,0.06652664049884936,4.380953021774138,10.078,0.0522,8.587,0.02,0.40874642
45,31.07669667,24.00063722,75.0,0.295,16.0,2.78,1.077320399,5.2783,0.0199,188.290955,189.111649,187.548569,0.06866128532554734,4.492421853520704,10.228,0.0886,8.589,0.02,0.08245802
46,46.75512917,-56.13457222,80.0,0.473,18.0,4.38,1.044878602,1.9322,0.0123,511.808533,514.422852,509.070709,0.03979817703237522,3.9299804861433145,10.883,0.0233,10.248,0.023,0.012855019
47,27.2255975,-20.89294194,83.0,0.53,3.0,2.32,0.97769572,6.5482,0.0197,152.060989,152.50116,151.606155,0.07095234692595749,4.692343112034985,10.462,0.1982,8.957,0.027,0.011134581
48,130.0070996,18.99983917,62.0,0.455,8.0,2.78,1.020147719,5.4368,0.0182,182.755539,183.37265,182.084946,0.07074094200490852,4.268011850586181,9.998,0.0703,8.698,0.018,0.023161951
49,185.3280042,-13.99806917,85.0,0.24,34.0,2.98,1.144644201,2.3374,0.0227,421.157684,425.054138,416.830383,0.032905472140613325,3.7130169140200975,10.98,0.0578,9.918,0.021,0.045451496
50,47.46976542,-6.892641944,77.0,0.373,14.0,3.09,1.047478712,4.2124,0.0177,235.627396,236.673096,234.661957,0.06098587889318722,4.61650944880462,10.64,0.064,9.372,0.023,0.06681797
51,160.1382704,13.56690389,87.0,0.303,76.0,4.21,1.262683361,3.0376,0.0214,325.807312,328.109924,323.563721,0.06009216628216951,3.7193254455800075,9.572,0.093,9.113,0.019,0.036479793
52,57.36569417,12.91217889,86.0,0.534,13.0,2.27,1.018610366,10.2015,0.0178,97.7453156,97.9540024,97.5614319,0.10800068133785942,4.465152705294605,9.278,0.0433,8.394,0.018,0.4208384
53,351.3549525,15.68865167,63.0,0.36,21.0,3.87,1.084700798,6.0382,0.0264,164.560272,165.382629,163.699814,0.10936605829093157,3.7526876981674793,8.47,0.2153,7.129,0.017,0.03499153
54,356.3961042,25.47192833,73.0,0.401,31.0,3.09,1.104425337,4.2375,0.0204,234.401749,235.545258,233.407043,0.0613047637130603,3.2243120177967843,9.179,0.0513,8.217,0.029,0.04940529
